customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-1034,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,97.73,2340.14,No
CUST-1035,Male,1,Yes,Yes,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,80.51,733.96,No
CUST-1036,Female,0,No,No,56,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,59.7,3335.28,No
CUST-1037,Male,0,Yes,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,385.37,Yes
CUST-1038,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),80.35,157.98,No
CUST-1039,Male,1,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.85,321.76,No
CUST-1040,Male,0,No,Yes,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,97.14,3214.98,No
CUST-1041,Male,0,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.58,964.54,No
CUST-1042,Female,0,Yes,No,16,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.52,1024.01,No
CUST-1043,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),94.99,5123.71,Yes
CUST-1044,Female,0,Yes,Yes,7,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,47.97,334.12,No
CUST-1045,Female,1,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),88.83,1073.15,No
CUST-1046,Female,1,Yes,No,54,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),74.49,4020.84,No
CUST-1047,Male,0,Yes,Yes,54,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,56.03,3029.39,No
CUST-1048,Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.84,755.51,No
CUST-1049,Female,1,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31.07,1455.22,Yes
CUST-1050,Male,0,No,Yes,2,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,80.03,177.42,Yes
CUST-1051,Female,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.44,4647.35,No
CUST-1052,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,82.36,744.51,No
CUST-1053,Female,0,Yes,No,4,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.12,315.35,Yes
CUST-1054,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.6,153.25,No
CUST-1055,Female,0,Yes,No,12,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,67.48,797.14,Yes
CUST-1056,Female,1,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.43,205.91,No
CUST-1057,Male,1,No,No,9,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,46.83,409.01,No
CUST-1058,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,85.4,264.35,No
CUST-1059,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,106.69,836.74,No
CUST-1060,Male,1,No,No,20,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.66,1231.33,No
CUST-1061,Male,0,No,No,13,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),69.31,888.85,No
CUST-1062,Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.35,339.93,No
CUST-1063,Male,1,No,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),95.91,3085.8,Yes
CUST-1064,Male,1,No,Yes,53,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,57.96,3061.8,No
CUST-1065,Female,0,Yes,No,33,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Mailed check,87.44,2902.89,No
CUST-1066,Female,0,Yes,No,9,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,57.19,510.26,No
CUST-1067,Male,0,Yes,No,32,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),52.44,1696.5,No
CUST-1068,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,83.21,268.48,Yes
CUST-1069,Female,0,Yes,No,3,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),73.82,208.98,Yes
CUST-1070,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.29,256.14,No
CUST-1071,Female,0,No,No,39,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,93.0,3614.74,No
CUST-1072,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.84,144.1,No
CUST-1073,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),105.53,88.9,No
CUST-1074,Male,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.1,73.56,No
CUST-1075,Female,1,No,Yes,46,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,87.63,4036.27,Yes
CUST-1076,Female,0,No,No,24,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,95.32,2285.65,No
CUST-1077,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.88,192.8,No
CUST-1078,Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),96.99,1836.09,No
CUST-1079,Female,0,Yes,Yes,17,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.63,1304.45,Yes
CUST-1080,Male,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,79.84,1977.99,No
CUST-1081,Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.0,174.52,No
CUST-1082,Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),88.87,4184.94,No
CUST-1083,Female,0,No,No,8,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.16,640.78,Yes
CUST-1084,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.44,2292.14,No
CUST-1085,Male,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.09,0.0,Yes
CUST-1086,Female,1,Yes,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,64.5,700.29,Yes
CUST-1087,Male,0,Yes,Yes,10,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),96.5,945.54,No
CUST-1088,Female,0,Yes,No,18,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),71.99,1296.2,No
CUST-1089,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.99,86.02,Yes
CUST-1090,Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,107.52,3972.01,No
CUST-1091,Female,0,Yes,Yes,5,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),69.76,351.92,Yes
CUST-1092,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.19,1715.28,No
CUST-1093,Female,1,Yes,No,39,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,98.63,3854.61,Yes
CUST-1094,Female,0,No,Yes,19,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.98,1206.15,No
CUST-1095,Female,0,No,No,32,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,61.87,1983.25,No
CUST-1096,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.28,825.23,No
CUST-1097,Female,1,Yes,No,10,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),72.04,705.26,No
CUST-1098,Female,0,No,No,39,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),89.95,3519.48,No
CUST-1099,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.73,221.59,No
CUST-1100,Male,0,No,No,20,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.47,1400.12,No
CUST-1101,Female,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),104.56,3332.02,No
CUST-1102,Female,0,No,No,11,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),65.46,736.64,No
CUST-1103,Female,1,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.83,687.96,No
CUST-1104,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.51,469.94,No
CUST-1105,Female,0,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,29.79,1185.7,No
CUST-1106,Female,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),85.07,5343.63,No
CUST-1107,Female,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),71.78,1283.51,No
CUST-1108,Female,0,No,No,25,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),51.65,1278.51,No
CUST-1109,Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),83.69,4686.27,No
CUST-1110,Female,0,Yes,No,2,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,89.61,197.21,No
CUST-1111,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,109.92,652.63,Yes
CUST-1112,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,105.36,3059.92,No
CUST-1113,Female,0,No,Yes,41,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,55.37,2285.84,No
CUST-1114,Male,0,No,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.96,1613.36,No
CUST-1115,Female,0,Yes,No,12,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.42,755.53,No
CUST-1116,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,92.22,204.07,Yes
CUST-1117,Female,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.08,1314.54,Yes
CUST-1118,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,87.0,522.93,No
CUST-1119,Male,1,No,Yes,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,84.34,686.59,No
CUST-1120,Female,0,No,No,35,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,72.12,2504.23,No
CUST-1121,Male,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.72,96.8,No
CUST-1122,Female,0,No,Yes,42,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.21,3107.48,No
CUST-1123,Male,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,33.81,426.32,No
CUST-1124,Male,0,No,Yes,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),79.13,1652.7,Yes
CUST-1125,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,89.89,198.45,Yes
CUST-1126,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),100.37,919.01,No
CUST-1127,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),33.16,54.87,No
CUST-1128,Female,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),67.72,4860.52,No
CUST-1129,Female,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,102.71,4000.26,No
CUST-1130,Female,0,No,No,14,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,80.13,1125.51,No
CUST-1131,Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,89.05,548.99,No
CUST-1132,Male,0,No,No,65,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,73.5,4796.14,Yes
CUST-1133,Male,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,114.3,1153.05,Yes
CUST-1134,Male,0,Yes,No,4,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),78.46,,No
CUST-1135,Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.86,1598.03,No
CUST-1136,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,95.07,6542.79,No
CUST-1137,Male,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.29,3.84,No
CUST-1138,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),76.61,461.22,Yes
CUST-1139,Male,0,No,No,66,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.02,4833.16,No
CUST-1140,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.18,277.62,No
CUST-1141,Male,1,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.15,45.89,Yes
CUST-1142,Female,0,Yes,No,20,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,63.21,1261.15,No
CUST-1143,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),97.81,4615.84,No
CUST-1144,Female,0,No,No,15,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),47.91,730.47,No
CUST-1145,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),111.82,8032.39,No
CUST-1146,Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,107.5,2917.49,No
CUST-1147,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.82,96.69,No
CUST-1148,Male,0,No,No,72,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),72.19,5192.27,No
CUST-1149,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.05,342.47,No
CUST-1150,Male,0,Yes,No,8,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),81.64,656.93,Yes
CUST-1151,Male,0,Yes,No,19,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,92.55,1759.67,No
CUST-1152,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,37.53,306.51,No
CUST-1153,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.83,68.61,No
CUST-1154,Male,0,No,No,0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),51.18,0.0,Yes
CUST-1155,Female,1,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.33,386.91,No
CUST-1156,Male,0,Yes,No,43,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,83.09,3586.51,No
CUST-1157,Female,0,Yes,No,20,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,86.2,1730.53,No
CUST-1158,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.42,2260.18,No
CUST-1159,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),70.59,552.02,No
CUST-1160,Male,0,No,Yes,7,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,79.87,539.4,Yes
CUST-1161,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,68.37,265.96,No
CUST-1162,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.16,278.83,Yes
CUST-1163,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,78.8,629.69,No
CUST-1164,Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),77.12,2866.31,Yes
CUST-1165,Male,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.18,1513.5,No
CUST-1166,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,94.09,6788.39,No
CUST-1167,Male,1,Yes,No,6,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),70.36,430.34,No
CUST-1168,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.31,1275.82,No
CUST-1169,Female,0,Yes,No,9,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),66.35,602.93,No
CUST-1170,Female,1,Yes,No,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,65.14,116.35,Yes
CUST-1171,Male,0,Yes,No,48,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,55.23,2657.23,No
CUST-1172,Male,1,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,80.25,1911.71,No
CUST-1173,Female,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,60.44,237.46,No
CUST-1174,Female,0,Yes,No,13,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.02,899.92,Yes
CUST-1175,Female,0,No,Yes,8,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.66,459.29,Yes
